2026-01-29 09:53:11,974 | INFO     | Launcher        | [Flask] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:53:11,984 | INFO     | Launcher        | [Flask] Started with PID 13868
2026-01-29 09:53:12,988 | INFO     | Launcher        | ============================================================
2026-01-29 09:53:12,989 | INFO     | Launcher        | All services started!
2026-01-29 09:53:12,989 | INFO     | Launcher        | ============================================================
2026-01-29 09:53:12,991 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 09:53:13,493 | INFO     | Launcher        | [Camera] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:53:13,493 | INFO     | Launcher        | [Camera] Started with PID 8464
2026-01-29 09:53:13,493 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 09:53:14,000 | INFO     | Launcher        | [Manager] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:53:14,005 | INFO     | Launcher        | [Manager] Started with PID 12324
2026-01-29 09:53:14,005 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 09:53:14,507 | INFO     | Launcher        | [Flask] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:53:14,511 | INFO     | Launcher        | [Flask] Started with PID 23008
2026-01-29 09:53:19,512 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 09:53:20,013 | INFO     | Launcher        | [Camera] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:53:20,020 | INFO     | Launcher        | [Camera] Started with PID 16424
2026-01-29 09:53:20,020 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 09:53:20,521 | INFO     | Launcher        | [Manager] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:53:20,521 | INFO     | Launcher        | [Manager] Started with PID 22292
